matchId,teamId,total_passes,total_shots,shots_on_target,fouls_committed,tackles,clearances,successful_events,successful_passes,eventId,total_events,pass_success_rate,shot_accuracy,possession_ratio,opponentId,goals_for,goals_against,home_away,team_name,result,result_label
2499760,1609,493,10,2,15,95,15,587,411,935,518,0.8337,0.2,0.9517,1610,0,0,home,Arsenal,Draw,1
2499760,1610,496,13,4,12,45,16,590,405,829,521,0.8165,0.3077,0.952,1609,0,0,away,Chelsea,Draw,1
2499761,1619,476,12,4,14,89,20,605,398,967,502,0.8361,0.3333,0.9482,1628,1,0,away,Southampton,Win,2
2499761,1628,386,10,3,15,84,17,539,317,796,411,0.8212,0.3,0.9392,1619,0,1,home,Crystal Palace,Loss,0
2499762,1631,323,7,1,6,54,21,430,249,785,336,0.7709,0.1429,0.9613,1673,1,1,away,Leicester City,Draw,1
2499762,1673,505,12,3,6,47,16,578,414,831,523,0.8198,0.25,0.9656,1631,1,1,home,Huddersfield Town,Draw,1
2499763,1612,650,35,10,8,29,5,756,556,1042,693,0.8554,0.2857,0.938,1646,1,1,away,Liverpool,Draw,1
2499763,1646,245,6,4,11,79,30,301,181,653,262,0.7388,0.6667,0.9351,1612,1,1,home,Burnley,Draw,1
2499764,1611,468,12,5,15,61,10,575,399,806,495,0.8526,0.4167,0.9455,1623,4,0,home,Manchester United,Win,2
2499764,1623,469,6,3,13,72,23,552,399,862,488,0.8507,0.5,0.9611,1611,0,4,away,Everton,Loss,0
2499765,1613,266,14,3,13,71,22,358,191,738,293,0.718,0.2143,0.9078,1639,2,1,home,Newcastle United,Win,2
2499765,1639,383,11,4,11,53,11,497,296,764,405,0.7728,0.3636,0.9457,1613,1,2,away,Stoke City,Loss,0
2499766,1624,753,23,7,11,48,8,833,672,1080,787,0.8924,0.3043,0.9568,10531,0,0,away,Tottenham Hotspur,Draw,1
2499766,10531,220,3,0,11,65,28,292,156,608,234,0.7091,0.0,0.9402,1624,0,0,home,Swansea City,Draw,1
2499767,1625,631,25,9,6,67,10,762,573,975,662,0.9081,0.36,0.9532,1644,6,0,away,Manchester City,Win,2
2499767,1644,298,7,1,8,63,13,377,237,661,313,0.7953,0.1429,0.9521,1625,0,6,home,Watford,Loss,0
2499768,1627,275,7,2,15,56,8,354,220,638,297,0.8,0.2857,0.9259,1633,0,0,home,West Bromwich Albion,Draw,1
2499768,1633,470,8,1,8,40,4,547,401,749,486,0.8532,0.125,0.9671,1627,0,0,away,West Ham United,Draw,1
2499769,1609,585,12,4,9,63,11,735,522,941,606,0.8923,0.3333,0.9653,1627,2,0,away,Arsenal,Win,2
2499769,1627,252,6,2,17,78,15,374,200,669,275,0.7937,0.3333,0.9164,1609,0,2,home,West Bromwich Albion,Loss,0
2499770,1613,444,12,4,8,47,16,545,377,793,464,0.8491,0.3333,0.9569,1651,0,1,away,Newcastle United,Loss,0
2499770,1651,424,6,3,6,58,24,516,343,839,436,0.809,0.5,0.9725,1613,1,0,home,Brighton & Hove Albion,Win,2
2499771,1646,428,5,3,9,56,12,519,345,862,442,0.8061,0.6,0.9683,1673,0,0,home,Burnley,Draw,1
2499771,1673,411,8,2,14,72,18,516,326,772,433,0.7932,0.25,0.9492,1646,0,0,away,Huddersfield Town,Draw,1
2499772,1623,414,15,4,12,101,6,537,339,869,441,0.8188,0.2667,0.9388,1659,2,1,away,Everton,Win,2
2499772,1659,398,8,4,11,73,11,533,321,817,417,0.8065,0.5,0.9544,1623,1,2,home,AFC Bournemouth,Loss,0
2499773,1612,440,22,5,14,82,27,579,353,988,476,0.8023,0.2273,0.9244,1631,3,2,home,Liverpool,Win,2
2499773,1631,332,9,6,13,79,14,473,249,782,354,0.75,0.6667,0.9379,1612,2,3,away,Leicester City,Loss,0
2499774,1625,715,23,9,7,53,2,810,644,1035,745,0.9007,0.3913,0.9597,1628,5,0,away,Manchester City,Win,2
2499774,1628,260,6,0,7,81,14,340,200,640,273,0.7692,0.0,0.9524,1625,0,5,home,Crystal Palace,Loss,0
2499775,1611,348,7,4,11,60,22,479,283,792,366,0.8132,0.5714,0.9508,1619,1,0,home,Manchester United,Win,2
2499775,1619,542,13,4,11,67,8,639,457,888,566,0.8432,0.3077,0.9576,1611,0,1,away,Southampton,Loss,0
2499776,1610,515,5,4,14,84,17,622,442,892,534,0.8583,0.8,0.9644,1639,4,0,home,Chelsea,Win,2
2499776,1639,399,11,2,5,79,6,494,322,762,415,0.807,0.1818,0.9614,1610,0,4,away,Stoke City,Loss,0
2499777,1644,402,8,4,17,60,32,548,346,791,427,0.8607,0.5,0.9415,10531,2,1,home,Watford,Win,2
2499777,10531,415,8,3,8,80,7,547,336,856,431,0.8096,0.375,0.9629,1644,1,2,away,Swansea City,Loss,0
2499778,1624,383,13,5,22,91,13,496,300,822,418,0.7833,0.3846,0.9163,1633,3,2,home,Tottenham Hotspur,Win,2
2499778,1633,350,10,4,11,64,14,494,266,850,371,0.76,0.4,0.9434,1624,2,3,away,West Ham United,Loss,0
2499779,1631,314,7,1,10,98,21,401,230,782,331,0.7325,0.1429,0.9486,1659,0,0,away,Leicester City,Draw,1
2499779,1659,514,19,4,6,59,21,662,432,962,539,0.8405,0.2105,0.9536,1631,0,0,home,AFC Bournemouth,Draw,1
2499780,1609,675,22,10,7,63,10,764,604,1010,704,0.8948,0.4545,0.9588,1651,2,0,home,Arsenal,Win,2
2499780,1651,344,9,1,9,53,18,445,278,762,362,0.8081,0.1111,0.9503,1609,0,2,away,Brighton & Hove Albion,Loss,0
2499781,1610,390,4,2,8,67,20,483,315,791,402,0.8077,0.5,0.9701,1625,0,1,home,Chelsea,Loss,0
2499781,1625,635,14,4,13,68,15,753,573,1019,662,0.9024,0.2857,0.9592,1610,1,0,away,Manchester City,Win,2
2499782,1623,501,24,4,14,51,10,604,410,993,539,0.8184,0.1667,0.9295,1646,0,1,away,Everton,Loss,0
2499782,1646,281,4,2,8,67,27,385,205,682,293,0.7295,0.5,0.959,1623,1,0,home,Burnley,Win,2
2499783,1624,540,13,7,4,86,17,701,445,1000,557,0.8241,0.5385,0.9695,1673,4,0,away,Tottenham Hotspur,Win,2
2499783,1673,366,6,1,7,135,14,523,279,907,379,0.7623,0.1667,0.9657,1624,0,4,home,Huddersfield Town,Loss,0
2499784,1611,550,16,7,6,75,14,679,479,922,572,0.8709,0.4375,0.9615,1628,4,0,away,Manchester United,Win,2
2499784,1628,366,7,1,9,76,11,482,303,816,382,0.8279,0.1429,0.9581,1611,0,4,home,Crystal Palace,Loss,0
2499785,1612,599,16,2,6,48,8,724,525,1027,621,0.8765,0.125,0.9646,1613,1,1,home,Liverpool,Draw,1
2499785,1613,274,8,5,12,81,17,378,205,667,294,0.7482,0.625,0.932,1612,1,1,away,Newcastle United,Draw,1
2499786,1619,603,20,3,10,50,12,720,526,963,633,0.8723,0.15,0.9526,1639,1,2,home,Southampton,Loss,0
2499786,1639,229,14,6,11,65,26,343,177,666,254,0.7729,0.4286,0.9016,1619,2,1,away,Stoke City,Win,2
2499787,1627,262,8,4,12,86,17,386,197,705,282,0.7519,0.5,0.9291,1644,2,2,home,West Bromwich Albion,Draw,1
2499787,1644,525,14,3,12,68,11,652,457,938,551,0.8705,0.2143,0.9528,1627,2,2,away,Watford,Draw,1
2499788,1633,382,6,3,14,91,4,512,301,836,402,0.788,0.5,0.9502,10531,1,0,away,West Ham United,Win,2
2499788,10531,488,5,1,13,87,7,620,416,868,506,0.8525,0.2,0.9644,1633,0,1,home,Swansea City,Loss,0
2499789,1623,424,11,5,10,67,13,562,343,879,445,0.809,0.4545,0.9528,1651,1,1,away,Everton,Draw,1
2499789,1651,379,11,3,13,93,11,499,298,805,403,0.7863,0.2727,0.9404,1623,1,1,home,Brighton & Hove Albion,Draw,1
2499790,1633,232,7,6,15,52,17,337,183,645,254,0.7888,0.8571,0.9134,1646,1,1,away,West Ham United,Draw,1
2499790,1646,425,17,4,12,57,6,543,358,764,454,0.8424,0.2353,0.9361,1633,1,1,home,Burnley,Draw,1
2499791,1610,542,14,5,7,94,19,655,442,960,563,0.8155,0.3571,0.9627,1628,1,2,away,Chelsea,Loss,0
